TransactionID,PaymentMethod,PaymentProvider,Amount
71429,Credit Card,Visa,"₱3,278.75"
71433,E-wallet,GCash,"₱1,170.98"
71436,Cash,Cash,"₱1,296.25"
71438,Credit Card,Visa,"₱1,584.91"
71441,Credit Card,Mastercard,"₱1,100.18"
71445,Credit Card,Mastercard,"₱1,895.36"
71449,E-wallet,GCash,₱566.15
71449,Credit Card,Mastercard,₱691.97
71453,Credit Card,Visa,"₱3,692.68"
71455,Cash,Cash,"₱2,429.11"
71459,Credit Card,Mastercard,"₱1,105.62"
71462,E-wallet,GCash,"₱1,985.77"
71465,E-wallet,GCash,"₱1,938.93"
71468,Credit Card,Mastercard,"₱1,857.23"
71470,Cash,Cash,"₱2,271.16"
71472,E-wallet,GCash,₱497.53
71472,Credit Card,Mastercard,₱608.09
71476,Credit Card,Visa,"₱2,004.29"
71478,Credit Card,Visa,"₱1,377.95"
71480,E-wallet,GCash,"₱3,289.64"
71484,Credit Card,Visa,₱501.07
71485,Credit Card,Visa,"₱1,312.59"
71487,Credit Card,Mastercard,₱893.21
71489,Cash,Cash,₱925.89
71491,E-wallet,GCash,"₱1,291.62"
71491,Credit Card,Mastercard,"₱1,578.65"
71493,E-wallet,GCash,"₱1,486.87"
71497,Credit Card,Mastercard,"₱1,443.30"
71499,E-wallet,GCash,₱267.15
71499,Credit Card,Mastercard,₱326.51
71503,E-wallet,GCash,"₱1,127.41"
71507,Credit Card,Mastercard,"₱2,314.73"
71510,E-wallet,GCash,₱441.16
71510,Credit Card,Mastercard,₱539.20
71512,Cash,Cash,"₱1,737.41"
71513,E-wallet,GCash,"₱2,930.18"
71516,Credit Card,Visa,"₱3,436.70"
71519,Credit Card,Visa,₱827.86
71520,E-wallet,GCash,"₱2,325.62"
71522,E-wallet,GCash,"₱4,569.55"
71525,E-wallet,GCash,"₱1,462.20"
71525,Credit Card,Mastercard,"₱1,787.14"
71582,E-wallet,GCash,₱285.94
71582,Credit Card,Mastercard,₱285.93
71586,E-wallet,GCash,"₱2,652.41"
71589,Cash,Cash,₱59.91
71591,Cash,Cash,₱653.57
71592,Credit Card,Mastercard,"₱1,851.79"
71593,Credit Card,Mastercard,"₱3,741.70"
71595,Cash,Cash,"₱2,917.11"
71596,Cash,Cash,"₱1,849.61"
71600,Credit Card,Mastercard,"₱2,548.93"
71604,E-wallet,GCash,"₱1,565.85"
71604,Credit Card,Mastercard,"₱1,565.85"
71605,Credit Card,Mastercard,"₱3,068.04"
71608,Cash,Cash,"₱2,064.20"
71609,Credit Card,Mastercard,"₱1,922.59"
71613,Credit Card,Visa,"₱2,113.21"
71616,Credit Card,Mastercard,"₱3,158.93"
71617,Credit Card,Visa,₱423.73
71621,E-wallet,GCash,₱370.36
71623,E-wallet,GCash,"₱1,347.99"
71623,Credit Card,Mastercard,"₱1,347.99"
71625,E-wallet,GCash,₱462.94
71625,Credit Card,Mastercard,₱462.95
71627,E-wallet,GCash,₱778.12
71631,E-wallet,GCash,"₱1,225.45"
71634,Credit Card,Visa,₱882.32
71636,Credit Card,Mastercard,"₱1,405.18"
71638,Cash,Cash,"₱2,107.77"
71640,E-wallet,GCash,"₱1,100.49"
71640,Credit Card,Mastercard,"₱1,100.49"
71644,E-wallet,GCash,"₱1,018.48"
71646,Cash,Cash,"₱1,590.36"
71647,Credit Card,Visa,"₱3,207.95"
71648,Credit Card,Visa,₱522.86
71652,E-wallet,GCash,₱147.05
71655,Cash,Cash,"₱1,071.86"
71656,E-wallet,GCash,"₱1,203.66"
71658,Cash,Cash,"₱1,394.29"
71662,E-wallet,GCash,₱906.83
71662,Credit Card,Mastercard,₱906.83
71664,E-wallet,GCash,₱555.54
71666,E-wallet,GCash,"₱3,267.86"
71667,Credit Card,Mastercard,"₱2,592.50"
71671,Cash,Cash,"₱2,429.11"
71675,E-wallet,GCash,₱855.09
71677,Credit Card,Mastercard,"₱1,691.66"
71679,Credit Card,Visa,"₱2,618.95"
71681,E-wallet,GCash,"₱2,015.18"
71684,E-wallet,GCash,₱748.88
71684,Credit Card,Mastercard,₱748.89
71686,Cash,Cash,₱924.86
71688,Credit Card,Mastercard,"₱1,198.21"
71690,E-wallet,GCash,"₱1,007.59"
71691,Credit Card,Visa,₱462.95
71693,E-wallet,GCash,₱918.18
71693,Credit Card,Mastercard,₱918.19
71695,E-wallet,GCash,₱824.81
71695,Credit Card,Mastercard,₱824.81
71699,Credit Card,Mastercard,"₱3,289.64"
71700,E-wallet,GCash,"₱1,900.80"
71702,E-wallet,GCash,₱647.03
71702,Credit Card,Mastercard,₱647.04
71704,E-wallet,GCash,"₱1,192.77"
71704,Credit Card,Mastercard,"₱1,192.77"
71706,Credit Card,Visa,"₱1,851.79"
71707,Credit Card,Visa,"₱1,045.71"
71709,E-wallet,GCash,"₱2,145.89"
71713,E-wallet,GCash,₱849.64
71715,Credit Card,Visa,₱974.91
71718,Credit Card,Mastercard,"₱3,919.25"
71720,Credit Card,Visa,"₱1,318.04"
71721,E-wallet,GCash,"₱1,244.51"
71721,Credit Card,Mastercard,"₱1,244.51"
71724,E-wallet,GCash,₱893.73
71724,Credit Card,Mastercard,₱893.73
71727,Cash,Cash,"₱1,236.34"
71728,Credit Card,Mastercard,"₱1,895.36"
71730,Credit Card,Visa,₱978.21
71732,Credit Card,Visa,"₱2,107.77"
71733,Credit Card,Visa,"₱1,759.20"
71735,E-wallet,GCash,"₱2,527.14"
71737,E-wallet,GCash,"₱2,603.39"
71741,E-wallet,GCash,"₱1,290.80"
71745,Credit Card,Visa,"₱1,307.14"
71747,E-wallet,GCash,"₱1,184.60"
71747,Credit Card,Mastercard,"₱1,184.60"
71749,E-wallet,GCash,₱487.45
71749,Credit Card,Mastercard,₱487.46
71753,Credit Card,Mastercard,"₱1,900.80"
71754,E-wallet,GCash,"₱1,303.33"
71754,Credit Card,Mastercard,"₱1,303.33"
71757,E-wallet,GCash,"₱1,002.14"
71757,Credit Card,Mastercard,"₱1,002.15"
71758,E-wallet,GCash,₱789.73
71758,Credit Card,Mastercard,₱789.73
71760,Cash,Cash,₱717.84
71764,E-wallet,GCash,"₱2,151.34"
71765,Credit Card,Visa,"₱2,053.30"
71767,Cash,Cash,"₱2,679.64"
71771,E-wallet,GCash,₱465.67
71771,Credit Card,Mastercard,₱465.67
71775,Credit Card,Visa,"₱1,312.59"
71776,E-wallet,GCash,"₱2,815.80"
71778,Credit Card,Visa,₱773.39
71779,Credit Card,Visa,"₱2,712.32"
71782,Credit Card,Mastercard,"₱1,432.41"
71783,E-wallet,GCash,"₱1,405.18"
71864,E-wallet,GCash,"₱1,164.17"
71864,Credit Card,Mastercard,"₱1,422.88"
71868,E-wallet,GCash,"₱1,426.96"
71870,Credit Card,Visa,"₱2,036.96"
71873,Credit Card,Visa,"₱1,083.84"
71874,E-wallet,GCash,"₱2,031.79"
71874,Credit Card,Mastercard,"₱2,483.30"
71878,Credit Card,Visa,"₱2,548.93"
71882,E-wallet,GCash,₱490.18
71884,Credit Card,Mastercard,"₱1,307.14"
71886,Credit Card,Mastercard,"₱1,960.71"
71890,Credit Card,Visa,"₱4,558.66"
71891,Credit Card,Visa,"₱2,080.54"
71895,Credit Card,Mastercard,"₱2,968.30"
71896,Credit Card,Visa,"₱2,743.45"
71899,E-wallet,GCash,"₱1,169.41"
71900,E-wallet,GCash,"₱1,453.38"
71900,Credit Card,Mastercard,"₱1,776.35"
71903,E-wallet,GCash,"₱1,595.80"
71905,E-wallet,GCash,₱670.56
71905,Credit Card,Mastercard,₱819.58
71908,E-wallet,GCash,"₱2,058.75"
71910,Cash,Cash,"₱3,551.07"
71911,Cash,Cash,"₱1,274.46"
71913,Credit Card,Visa,"₱2,870.27"
71916,Cash,Cash,"₱1,312.59"
71919,Cash,Cash,₱925.89
71921,Credit Card,Mastercard,"₱2,276.61"
71923,E-wallet,GCash,"₱2,886.61"
71927,Credit Card,Mastercard,"₱3,393.12"
71929,Credit Card,Visa,"₱1,470.54"
71931,E-wallet,GCash,₱531.84
71931,Credit Card,Mastercard,₱650.03
71933,Cash,Cash,"₱1,002.14"
71937,Credit Card,Visa,"₱1,481.43"
71939,E-wallet,GCash,₱747.00
71943,Credit Card,Mastercard,"₱1,965.32"
71947,E-wallet,GCash,₱742.62
71947,Credit Card,Mastercard,₱907.65
71950,Cash,Cash,"₱1,689.64"
71953,E-wallet,GCash,₱313.71
71953,Credit Card,Mastercard,₱383.43
71955,E-wallet,GCash,₱208.33
71955,Credit Card,Mastercard,₱254.62
71956,Cash,Cash,"₱1,987.95"
71958,Cash,Cash,"₱1,949.82"
71960,Credit Card,Mastercard,"₱2,625.18"
71962,E-wallet,GCash,₱855.09
71965,E-wallet,GCash,"₱1,078.39"
71965,Credit Card,Mastercard,"₱1,318.04"
71968,Credit Card,Visa,"₱1,846.34"
71969,Cash,Cash,₱876.87
71973,Cash,Cash,"₱2,162.23"
71976,E-wallet,GCash,₱51.47
71976,Credit Card,Mastercard,₱62.90
71979,E-wallet,GCash,"₱1,151.62"
71980,Cash,Cash,"₱1,216.73"
71984,E-wallet,GCash,"₱1,873.57"
71987,Cash,Cash,"₱1,013.04"
71988,Cash,Cash,"₱1,116.52"
71990,E-wallet,GCash,₱821.05
71990,Credit Card,Mastercard,"₱1,003.50"
71992,Credit Card,Visa,"₱1,960.71"
71994,Credit Card,Visa,₱987.11
71996,E-wallet,GCash,₱553.90
71996,Credit Card,Mastercard,₱676.99
71997,E-wallet,GCash,"₱1,431.32"
71997,Credit Card,Mastercard,"₱1,749.39"
71999,Cash,Cash,₱833.30
72003,E-wallet,GCash,₱422.41
72005,E-wallet,GCash,"₱1,699.29"
72007,Credit Card,Mastercard,"₱2,485.55"
72008,E-wallet,GCash,"₱1,928.04"
72012,Credit Card,Mastercard,"₱3,202.50"
72016,Credit Card,Visa,"₱2,706.87"
72020,E-wallet,GCash,₱487.73
72020,Credit Card,Mastercard,₱596.11
72021,Cash,Cash,"₱2,603.39"
72024,E-wallet,GCash,"₱2,178.57"
72027,Credit Card,Mastercard,"₱1,840.89"
72031,Cash,Cash,"₱1,840.89"
72032,E-wallet,GCash,"₱4,068.48"
72034,Cash,Cash,"₱2,135.00"
72038,Credit Card,Visa,"₱1,373.95"
72039,E-wallet,GCash,"₱1,747.49"
72039,Credit Card,Mastercard,"₱2,135.81"
72041,Cash,Cash,₱114.37
72045,Cash,Cash,"₱1,840.89"
72047,Credit Card,Visa,"₱1,078.39"
72050,E-wallet,GCash,"₱1,187.32"
72052,Credit Card,Mastercard,"₱1,535.89"
72054,Cash,Cash,"₱2,291.86"
72055,Credit Card,Mastercard,"₱6,595.62"
72056,E-wallet,GCash,"₱1,028.46"
72056,Credit Card,Mastercard,"₱1,257.00"
72058,Credit Card,Visa,₱915.00
72060,Credit Card,Visa,"₱1,367.05"
72063,Cash,Cash,₱669.91
72067,E-wallet,GCash,₱890.65
72067,Credit Card,Mastercard,"₱1,088.58"
72068,Cash,Cash,"₱4,101.16"
72071,Credit Card,Visa,"₱2,341.96"
72072,E-wallet,GCash,"₱1,372.50"
72075,Credit Card,Mastercard,₱983.62
72079,E-wallet,GCash,"₱1,769.68"
72081,Credit Card,Mastercard,"₱2,608.84"
72083,E-wallet,GCash,"₱1,312.59"
72087,E-wallet,GCash,₱830.85
72087,Credit Card,Mastercard,"₱1,015.49"
72089,Cash,Cash,₱152.50
72141,Credit Card,Visa,₱511.96
72143,Credit Card,Visa,"₱2,875.71"
72145,Cash,Cash,₱713.48
72149,Cash,Cash,"₱1,459.64"
72149,Credit Card,Mastercard,"₱1,459.65"
72153,Cash,Cash,"₱2,069.64"
72155,Credit Card,Visa,"₱2,821.25"
72156,E-wallet,GCash,"₱1,132.86"
72158,Credit Card,Visa,"₱1,388.84"
72162,Cash,Cash,"₱2,706.87"
72163,Credit Card,Mastercard,"₱2,478.12"
72165,Credit Card,Visa,"₱2,085.98"
72167,Credit Card,Visa,"₱1,699.29"
72169,E-wallet,GCash,₱915.96
72170,Credit Card,Visa,₱212.41
72172,E-wallet,GCash,₱929.30
72173,Credit Card,Visa,₱351.27
72177,Credit Card,Mastercard,"₱3,899.64"
72178,Credit Card,Mastercard,"₱2,216.70"
72182,Cash,Cash,₱360.16
72186,Credit Card,Visa,"₱1,759.20"
72188,Credit Card,Mastercard,"₱3,093.57"
72191,Credit Card,Visa,"₱2,374.64"
72193,E-wallet,GCash,₱724.37
72195,Credit Card,Mastercard,"₱1,617.59"
72196,E-wallet,GCash,₱767.95
72198,Credit Card,Mastercard,"₱3,725.36"
72201,E-wallet,GCash,₱738.11
72203,Cash,Cash,₱482.01
72203,Credit Card,Mastercard,₱482.01
72204,E-wallet,GCash,"₱1,241.79"
72207,Credit Card,Mastercard,"₱2,015.18"
72209,Credit Card,Visa,"₱1,851.79"
72213,E-wallet,GCash,"₱1,410.62"
72215,Credit Card,Visa,"₱1,503.21"
72216,Credit Card,Mastercard,"₱1,345.27"
72219,Cash,Cash,"₱2,407.32"
72221,Cash,Cash,₱272.32
72221,Credit Card,Mastercard,₱272.32
72222,Cash,Cash,₱577.32
72222,Credit Card,Mastercard,₱577.32
72226,E-wallet,GCash,"₱1,579.46"
72228,E-wallet,GCash,"₱2,113.21"
72229,Cash,Cash,₱669.91
72231,Cash,Cash,₱876.87
72235,Cash,Cash,"₱1,462.87"
72237,Credit Card,Visa,"₱1,339.82"
72239,Cash,Cash,"₱1,176.43"
72242,Cash,Cash,"₱1,541.34"
72246,E-wallet,GCash,"₱2,260.27"
72248,Credit Card,Mastercard,₱904.11
72250,Cash,Cash,₱925.89
72253,Cash,Cash,"₱1,454.19"
72253,Credit Card,Mastercard,"₱1,454.20"
72255,E-wallet,GCash,"₱1,748.30"
72258,Credit Card,Mastercard,"₱2,216.70"
72260,Credit Card,Visa,"₱3,861.52"
72263,Cash,Cash,"₱1,786.43"
72265,Cash,Cash,₱255.67
72265,Credit Card,Mastercard,₱255.67
72266,Credit Card,Visa,"₱2,211.25"
72267,Cash,Cash,₱759.77
72267,Credit Card,Mastercard,₱759.78
72269,Cash,Cash,"₱1,353.43"
72269,Credit Card,Mastercard,"₱1,353.44"
72271,Cash,Cash,"₱1,143.75"
72273,Credit Card,Mastercard,"₱2,080.54"
72276,E-wallet,GCash,"₱2,755.89"
72278,Credit Card,Visa,"₱3,583.75"
72279,E-wallet,GCash,"₱2,886.61"
72280,Cash,Cash,"₱2,178.57"
72282,Cash,Cash,"₱1,033.73"
72283,Cash,Cash,"₱4,133.84"
72324,E-wallet,GCash,₱724.37
72325,E-wallet,GCash,₱899.48
72325,Credit Card,Mastercard,"₱1,099.36"
72328,Credit Card,Visa,"₱3,687.23"
72332,E-wallet,GCash,₱690.31
72332,Credit Card,Mastercard,₱843.71
72334,E-wallet,GCash,"₱1,606.70"
72335,Cash,Cash,"₱3,201.43"
72338,Cash,Cash,"₱1,200.54"
72340,Credit Card,Visa,₱718.93
72342,Credit Card,Mastercard,"₱1,942.20"
72344,Credit Card,Visa,"₱1,614.05"
72346,E-wallet,GCash,"₱2,252.64"
72349,E-wallet,GCash,₱321.07
72349,Credit Card,Mastercard,₱392.41
72352,E-wallet,GCash,₱970.56
72352,Credit Card,Mastercard,"₱1,186.23"
72355,Credit Card,Visa,₱468.39
72359,E-wallet,GCash,₱783.20
72361,Credit Card,Mastercard,₱864.89
72362,E-wallet,GCash,"₱2,123.02"
72364,Cash,Cash,"₱2,118.66"
72365,Credit Card,Mastercard,"₱2,299.48"
72368,E-wallet,GCash,₱838.75
72370,E-wallet,GCash,"₱1,458.28"
72370,Credit Card,Mastercard,"₱1,782.34"
72374,Credit Card,Visa,₱326.79
72376,Credit Card,Visa,"₱2,592.50"
72380,Credit Card,Visa,"₱2,096.87"
72384,Credit Card,Visa,₱642.68
72386,Credit Card,Visa,"₱2,198.18"
72389,Cash,Cash,"₱2,429.11"
72391,Credit Card,Visa,"₱1,639.37"
72393,E-wallet,GCash,"₱1,307.14"
72394,E-wallet,GCash,"₱3,191.61"
72396,E-wallet,GCash,"₱2,260.27"
72399,Credit Card,Visa,"₱1,987.95"
72401,Credit Card,Mastercard,₱637.23
72403,Cash,Cash,"₱2,314.73"
72405,Credit Card,Mastercard,"₱1,143.75"
72407,E-wallet,GCash,"₱1,442.64"
72407,Credit Card,Mastercard,"₱1,763.23"
72409,E-wallet,GCash,"₱1,770.09"
72410,Credit Card,Visa,"₱1,328.93"
72412,Credit Card,Visa,₱468.39
72415,Credit Card,Mastercard,"₱1,416.07"
72419,E-wallet,GCash,"₱1,170.98"
72420,Credit Card,Visa,"₱2,027.57"
72423,E-wallet,GCash,₱257.34
72423,Credit Card,Mastercard,₱314.53
72425,Credit Card,Mastercard,₱813.70
72426,Credit Card,Visa,"₱1,323.48"
72430,E-wallet,GCash,"₱2,069.64"
72434,E-wallet,GCash,₱972.73
72436,Credit Card,Visa,"₱2,189.46"
72438,Credit Card,Visa,"₱1,372.50"
72441,Cash,Cash,₱408.48
72445,E-wallet,GCash,₱424.00
72445,Credit Card,Mastercard,₱518.23
72446,E-wallet,GCash,"₱1,987.95"
72450,E-wallet,GCash,"₱2,646.96"
72452,E-wallet,GCash,"₱1,922.59"
72455,Cash,Cash,"₱1,955.27"
72457,E-wallet,GCash,"₱2,396.43"
72461,Cash,Cash,"₱3,175.27"
72464,E-wallet,GCash,"₱1,982.50"
72467,Credit Card,Visa,"₱2,064.20"
72469,Cash,Cash,₱702.59
72473,Credit Card,Mastercard,"₱1,328.93"
72476,Credit Card,Mastercard,"₱1,296.25"
72478,Cash,Cash,"₱2,075.09"
72482,E-wallet,GCash,₱973.00
72482,Credit Card,Mastercard,"₱1,189.23"
72484,E-wallet,GCash,"₱1,481.43"
72487,Cash,Cash,"₱1,494.00"
72488,E-wallet,GCash,₱867.62
72488,Credit Card,Mastercard,"₱1,060.42"
72489,Credit Card,Visa,₱985.80
72490,E-wallet,GCash,₱475.47
72490,Credit Card,Mastercard,₱581.14
72494,E-wallet,GCash,"₱4,024.91"
72498,E-wallet,GCash,"₱2,352.86"
72502,Credit Card,Visa,"₱1,893.18"
72505,Credit Card,Visa,₱996.70
72507,E-wallet,GCash,"₱3,120.80"
72508,Credit Card,Mastercard,"₱1,023.93"
72511,Cash,Cash,₱989.07
72515,E-wallet,GCash,"₱2,668.75"
72517,E-wallet,GCash,"₱1,116.52"
72521,Credit Card,Visa,"₱3,850.62"
72523,Credit Card,Mastercard,"₱2,222.14"
72525,E-wallet,GCash,₱914.18
72525,Credit Card,Mastercard,"₱1,117.34"
72526,E-wallet,GCash,"₱1,644.82"
72527,Cash,Cash,₱539.20
72528,E-wallet,GCash,₱604.55
72532,E-wallet,GCash,"₱1,215.64"
72532,Credit Card,Mastercard,"₱1,485.79"
72534,Credit Card,Mastercard,"₱1,802.77"
72538,Credit Card,Visa,"₱1,276.12"
72541,Credit Card,Mastercard,"₱1,076.04"
72545,Cash,Cash,"₱1,072.95"
72546,Cash,Cash,"₱5,103.30"
72547,Credit Card,Visa,"₱2,154.61"
72548,Credit Card,Visa,"₱1,160.09"
72552,Cash,Cash,"₱2,243.93"
72554,Credit Card,Visa,"₱1,214.55"
72622,Cash,Cash,"₱1,388.84"
72625,E-wallet,GCash,₱414.20
72625,Credit Card,Mastercard,₱506.25
72626,E-wallet,GCash,"₱1,655.71"
72629,E-wallet,GCash,₱185.18
72631,E-wallet,GCash,"₱1,399.73"
72632,E-wallet,GCash,"₱1,143.75"
72635,Credit Card,Mastercard,"₱1,089.29"
72636,Cash,Cash,₱985.80
72638,E-wallet,GCash,₱850.46
72638,Credit Card,Mastercard,"₱1,039.45"
72642,Credit Card,Visa,"₱4,248.21"
72643,Cash,Cash,"₱1,938.93"
72646,Credit Card,Visa,"₱2,668.75"
72648,E-wallet,GCash,"₱2,113.21"
72649,Credit Card,Visa,"₱4,068.48"
72651,E-wallet,GCash,"₱1,127.41"
72651,Credit Card,Mastercard,"₱1,377.95"
72653,E-wallet,GCash,"₱1,264.66"
72653,Credit Card,Mastercard,"₱1,545.70"
72656,E-wallet,GCash,"₱1,294.07"
72656,Credit Card,Mastercard,"₱1,581.64"
72658,Credit Card,Visa,"₱2,690.54"
72659,E-wallet,GCash,₱831.48
72662,E-wallet,GCash,"₱1,950.42"
72662,Credit Card,Mastercard,"₱2,383.85"
72666,E-wallet,GCash,₱452.05
72670,E-wallet,GCash,₱705.86
72670,Credit Card,Mastercard,₱862.71
72674,Credit Card,Visa,"₱2,249.37"
72676,Cash,Cash,"₱1,258.12"
72679,Cash,Cash,₱326.79
72680,E-wallet,GCash,"₱1,370.05"
72680,Credit Card,Mastercard,"₱1,674.50"
72684,E-wallet,GCash,₱644.73
72687,Cash,Cash,"₱2,238.48"
72691,Credit Card,Visa,₱430.27
72692,Cash,Cash,"₱1,911.70"
72693,E-wallet,GCash,₱409.30
72693,Credit Card,Mastercard,₱500.25
72695,E-wallet,GCash,"₱3,336.48"
72697,Credit Card,Visa,"₱1,029.37"
72701,Credit Card,Mastercard,"₱2,374.64"
72704,Cash,Cash,₱566.43
72707,Credit Card,Mastercard,"₱1,066.41"
72711,E-wallet,GCash,"₱1,334.37"
72715,E-wallet,GCash,₱698.09
72718,E-wallet,GCash,"₱1,612.14"
72720,E-wallet,GCash,"₱1,263.57"
72723,Cash,Cash,"₱3,311.43"
72727,E-wallet,GCash,"₱2,832.14"
72731,E-wallet,GCash,"₱1,579.46"
72732,E-wallet,GCash,"₱1,077.41"
72732,Credit Card,Mastercard,"₱1,316.84"
72736,E-wallet,GCash,₱424.82
72737,Cash,Cash,"₱2,205.80"
72739,Cash,Cash,₱767.95
72740,Cash,Cash,"₱3,243.89"
72742,Cash,Cash,₱827.04
72744,Credit Card,Visa,"₱1,568.57"
72746,E-wallet,GCash,"₱1,303.88"
72746,Credit Card,Mastercard,"₱1,593.62"
72750,Credit Card,Mastercard,"₱1,628.48"
72751,Credit Card,Visa,"₱2,423.66"
72753,E-wallet,GCash,₱816.96
72755,Credit Card,Visa,"₱2,630.62"
72759,Cash,Cash,"₱2,734.11"
72763,Cash,Cash,"₱3,463.93"
72767,Credit Card,Visa,"₱1,182.75"
72768,E-wallet,GCash,₱203.42
72768,Credit Card,Mastercard,₱248.63
72769,Cash,Cash,"₱1,666.61"
72771,E-wallet,GCash,₱416.65
72771,Credit Card,Mastercard,₱509.24
72773,Credit Card,Visa,"₱1,944.37"
72821,E-wallet,GCash,"₱2,145.89"
72823,Credit Card,Visa,"₱1,328.93"
72826,Credit Card,Mastercard,"₱2,096.87"
72828,Credit Card,Visa,"₱2,303.84"
72830,Cash,Cash,₱642.68
72832,E-wallet,GCash,"₱2,524.96"
72835,Cash,Cash,"₱1,584.91"
72837,Credit Card,Mastercard,"₱1,704.73"
72838,E-wallet,GCash,₱147.05
72841,Cash,Cash,"₱2,418.21"
72843,Cash,Cash,₱659.02
72844,E-wallet,GCash,₱117.64
72844,Credit Card,Mastercard,₱143.79
72846,E-wallet,GCash,"₱3,834.29"
72849,Credit Card,Mastercard,"₱1,688.39"
72852,Credit Card,Visa,"₱1,034.82"
72854,E-wallet,GCash,₱311.27
72854,Credit Card,Mastercard,₱380.43
72856,Credit Card,Visa,"₱1,731.96"
72858,E-wallet,GCash,₱977.90
72858,Credit Card,Mastercard,"₱1,195.22"
72861,Credit Card,Visa,"₱2,853.93"
72863,E-wallet,GCash,₱102.27
72867,Credit Card,Mastercard,₱904.11
72868,Credit Card,Mastercard,₱441.16
72870,Credit Card,Mastercard,"₱1,076.21"
72871,E-wallet,GCash,₱480.38
72871,Credit Card,Mastercard,₱587.12
72874,Credit Card,Visa,"₱2,167.68"
72877,Credit Card,Visa,"₱2,619.73"
72881,E-wallet,GCash,₱730.37
72881,Credit Card,Mastercard,₱892.67
72883,Credit Card,Visa,₱457.50
72884,E-wallet,GCash,₱378.17
72884,Credit Card,Mastercard,₱462.20
72886,Cash,Cash,"₱1,759.20"
72889,Cash,Cash,"₱1,105.62"
72891,Credit Card,Mastercard,"₱1,078.39"
72893,E-wallet,GCash,"₱1,509.75"
72893,Credit Card,Mastercard,"₱1,845.25"
72897,Cash,Cash,"₱1,568.57"
72901,E-wallet,GCash,"₱2,516.25"
72903,Cash,Cash,"₱1,252.68"
72906,Credit Card,Mastercard,"₱3,768.93"
72909,E-wallet,GCash,₱860.54
72911,Credit Card,Visa,"₱3,039.11"
72914,Credit Card,Visa,"₱1,933.48"
72916,Credit Card,Visa,"₱1,067.50"
72919,Credit Card,Visa,"₱5,141.43"
72923,Credit Card,Visa,"₱1,760.79"
72925,Credit Card,Mastercard,₱822.41
72928,Cash,Cash,₱604.55
72932,Cash,Cash,₱849.64
72933,Credit Card,Mastercard,"₱1,029.37"
72935,Credit Card,Mastercard,"₱1,590.36"
72937,E-wallet,GCash,"₱1,911.70"
72941,Credit Card,Visa,₱599.11
72943,E-wallet,GCash,₱318.62
72943,Credit Card,Mastercard,₱389.42
72946,Cash,Cash,"₱7,353.77"
72948,Cash,Cash,"₱1,426.96"
72951,Credit Card,Visa,"₱1,181.87"
72954,Credit Card,Mastercard,₱751.61
72955,Cash,Cash,"₱1,851.79"
72959,Credit Card,Visa,"₱1,230.89"
72962,E-wallet,GCash,₱698.50
72962,Credit Card,Mastercard,₱853.73
72964,Credit Card,Mastercard,₱915.00
72966,E-wallet,GCash,₱674.00
72966,Credit Card,Mastercard,₱823.77
72968,E-wallet,GCash,₱733.66
72969,Cash,Cash,"₱1,078.39"
72971,Credit Card,Visa,"₱1,105.62"
72973,Credit Card,Mastercard,"₱1,056.61"
72975,Credit Card,Mastercard,"₱4,792.86"
72979,E-wallet,GCash,"₱1,377.40"
72979,Credit Card,Mastercard,"₱1,683.49"
72980,E-wallet,GCash,₱784.29
72980,Credit Card,Mastercard,₱958.57
72984,Credit Card,Visa,"₱1,857.23"
72986,Credit Card,Mastercard,"₱1,203.66"
72988,E-wallet,GCash,₱713.48
72992,E-wallet,GCash,"₱1,012.22"
72992,Credit Card,Mastercard,"₱1,237.15"
72994,Cash,Cash,"₱1,944.37"
72996,Cash,Cash,"₱1,612.14"
72999,Credit Card,Visa,₱969.46
73002,Credit Card,Visa,"₱2,181.84"
73006,E-wallet,GCash,"₱3,425.80"
73010,Credit Card,Visa,"₱1,274.46"
73013,E-wallet,GCash,"₱1,426.42"
73013,Credit Card,Mastercard,"₱1,743.40"
73015,Credit Card,Mastercard,"₱2,554.37"
73018,E-wallet,GCash,₱152.07
73018,Credit Card,Mastercard,₱185.86
73022,Credit Card,Mastercard,"₱2,701.43"
73024,Credit Card,Mastercard,₱664.46
73026,E-wallet,GCash,"₱1,220.00"
73028,E-wallet,GCash,"₱1,132.86"
73031,Cash,Cash,"₱1,051.16"
73033,Credit Card,Mastercard,"₱3,180.71"
73082,E-wallet,GCash,"₱2,701.43"
73085,Credit Card,Mastercard,₱931.34
73086,Credit Card,Visa,"₱1,492.32"
73090,E-wallet,GCash,"₱2,024.98"
73091,Credit Card,Mastercard,₱261.43
73093,E-wallet,GCash,₱438.71
73093,Credit Card,Mastercard,₱536.20
73094,Cash,Cash,₱773.39
73095,Cash,Cash,"₱3,850.62"
73097,Cash,Cash,"₱1,018.48"
73098,E-wallet,GCash,₱139.70
73098,Credit Card,Mastercard,₱170.75
73100,E-wallet,GCash,₱360.16
73102,Cash,Cash,"₱2,799.46"
73103,Credit Card,Visa,"₱1,192.77"
73104,E-wallet,GCash,₱215.68
73104,Credit Card,Mastercard,₱263.61
73108,Credit Card,Visa,₱174.29
73111,E-wallet,GCash,₱98.04
73113,Cash,Cash,"₱3,077.23"
73114,E-wallet,GCash,₱0.00
73114,Credit Card,Mastercard,₱0.00
73116,Credit Card,Mastercard,"₱1,721.07"
73118,E-wallet,GCash,₱416.65
73118,Credit Card,Mastercard,₱509.24
